sensitivity,compressionRatio,pfError
0,0.783399,0
0.01,0.783399,0
0.02,0.783399,0
0.03,0.783399,0
0.04,0.783399,0
0.05,0.783399,0
0.06,0.783399,0
0.07,0.783399,0
0.08,0.783399,0
0.09,0.783399,0
0.1,0.783399,0
0.11,0.783399,0
0.12,0.783399,0
0.13,0.783399,0
0.14,0.783399,0
0.15,0.783399,0
0.16,0.783399,0
0.17,0.783399,0
0.18,0.783399,0
0.19,0.783399,0
0.2,0.783399,0
0.21,0.783399,0
0.22,0.783399,0
0.23,0.783399,0
0.24,0.783399,0
0.25,0.783399,0
0.26,0.783399,0
0.27,0.783399,0
0.28,0.783399,0
0.29,0.783399,0
0.3,0.783399,0
0.31,0.783399,0
0.32,0.783399,0
0.33,0.783399,0
0.34,0.783399,0
0.35,0.783399,0
0.36,0.783399,0
0.37,0.783399,0
0.38,0.783399,0
0.39,0.783399,0
0.4,0.783399,0
0.41,0.783399,0
0.42,0.783399,0
0.43,0.783399,0
0.44,0.783399,0
0.45,0.783399,0
0.46,0.783399,0
0.47,0.783399,0
0.48,0.783399,0
0.49,0.783399,0
0,0.874931,0
0.01,0.874931,0
0.02,0.874931,0
0.03,0.874931,0
0.04,0.874931,0
0.05,0.874931,0
0.06,0.874931,0
0.07,0.874931,0
0.08,0.874931,0
0.09,0.874931,0
0.1,0.874931,0
0.11,0.874931,0
0.12,0.874931,0
0.13,0.874931,0
0.14,0.874931,0
0.15,0.874931,0
0.16,0.874931,0
0.17,0.874931,0
0.18,0.874931,0
0.19,0.874931,0
0.2,0.874931,0
0.21,0.874931,0
0.22,0.874931,0
0.23,0.874931,0
0.24,0.874931,0
0.25,0.874931,0
0.26,0.874931,0
0.27,0.874931,0
0.28,0.874931,0
0.29,0.874931,0
0.3,0.874931,0
0.31,0.874931,0
0.32,0.874931,0
0.33,0.874931,0
0.34,0.874931,0
0.35,0.874931,0
0.36,0.874931,0
0.37,0.874931,0
0.38,0.874931,0
0.39,0.874931,0
0.4,0.874931,0
0.41,0.874931,0
0.42,0.874931,0
0.43,0.874931,0
0.44,0.874931,0
0.45,0.874931,0
0.46,0.874931,0
0.47,0.874931,0
0.48,0.874931,0
0.49,0.874931,0
0,0.874931,0
0.01,0.874931,0
0.02,0.874931,0
0.03,0.874931,0
0.04,0.874931,0
0.05,0.874931,0
0.06,0.874931,0
0.07,0.874931,0
0.08,0.874931,0
0.09,0.874931,0
0.1,0.874931,0
0.11,0.874931,0
0.12,0.874931,0
0.13,0.874931,0
0.14,0.874931,0
0.15,0.874931,0
0.16,0.874931,0
0.17,0.874931,0
0.18,0.874931,0
0.19,0.874931,0
0.2,0.874931,0
0.21,0.874931,0
0.22,0.874931,0
0.23,0.874931,0
0.24,0.874931,0
0.25,0.874931,0
0.26,0.874931,0
0.27,0.874931,0
0.28,0.874931,0
0.29,0.874931,0
0.3,0.874931,0
0.31,0.874931,0
0.32,0.874931,0
0.33,0.874931,0
0.34,0.874931,0
0.35,0.874931,0
0.36,0.874931,0
0.37,0.874931,0
0.38,0.874931,0
0.39,0.874931,0
0.4,0.874931,0
0.41,0.874931,0
0.42,0.874931,0
0.43,0.874931,0
0.44,0.874931,0
0.45,0.874931,0
0.46,0.874931,0
0.47,0.874931,0
0.48,0.874931,0
0.49,0.874931,0
0,0.825294,4.64861e-09
0.01,0.83601,0.00201424
0.02,0.836221,0.00278758
0.03,0.852466,0.00537653
0.04,0.852571,0.00888149
0.05,0.853348,0.00694737
0.06,0.874437,0.00837657
0.07,0.874437,0.00881808
0.08,0.874437,0.0123051
0.09,0.874437,0.0123051
0.1,0.874437,0.0171811
0.11,0.874543,0.017683
0.12,0.874543,0.017683
0.13,0.874543,0.017683
0.14,0.874543,0.017683
0.15,0.874543,0.017683
0.16,0.874543,0.017683
0.17,0.874543,0.0303425
0.18,0.874543,0.0303425
0.19,0.874543,0.0303425
0.2,0.874543,0.0346965
0.21,0.874543,0.0417994
0.22,0.874595,0.065059
0.23,0.874595,0.065059
0.24,0.874595,0.065059
0.25,0.874595,0.065059
0.26,0.874595,0.065059
0.27,0.874595,0.065059
0.28,0.874595,0.065059
0.29,0.874595,0.065059
0.3,0.874595,0.065059
0.31,0.874595,0.065059
0.32,0.874595,0.065059
0.33,0.874595,0.065059
0.34,0.874595,0.065059
0.35,0.874595,0.065059
0.36,0.874595,0.065059
0.37,0.874595,0.065059
0.38,0.874595,0.065059
0.39,0.874595,0.065059
0.4,0.874595,0.065059
0.41,0.874595,0.065059
0.42,0.874595,0.065059
0.43,0.874595,0.065059
0.44,0.874595,0.065059
0.45,0.874595,0.065059
0.46,0.874595,0.065059
0.47,0.874595,0.065059
0.48,0.874595,0.065059
0.49,0.874595,0.065059
